route_id,service_id,trip_id,trip_headsign,shape_id,block_id
601,1712,2165797:546392:553068,A - Express - Queen's/KGH via Highway 15,1565,553068
13,1701,2167356:546393:558931,Cataraqui North,1441,558931
701,1708,2169080:546397:558859,Express - Cataraqui Centre via Downtown,1610,558859
501,1701,2166468:546399:549179,Express - Cataraqui Centre via Front/Bayridge,1506,549179
501,1712,2164430:546404:549274,Express - Cataraqui Centre via Front/Bayridge,1506,549274
702,1701,2166761:546408:558883,Express - King's Crossing via Division,1584,558883
22,1701,2167417:546409:552096,A - First Canada,1438,552096
601,1708,2168922:546410:549099,Express - Queen's/KGH via Downtown,648,549099
7,1701,2167268:546411:558916,Cataraqui Centre,1418,558916
701,1708,2168793:546419:558801,Express - Cataraqui Centre via Brock/Bath,1377,558801
701,1701,2166689:546420:558789,Express - Cataraqui Centre via Downtown,1610,558789
502,1712,2164396:546422:549317,Express - Downtown via Bayridge/Front,1516,549317
19A,1723,2164406:546423:549320,Westbrook,1088,549320
19A,1724,2164406:546423:558840,Westbrook,1088,558840
7,1701,2167277:546424:558808,Cataraqui Centre,1418,558808
22,1723,2165316:546427:553075,First Canada via MacCauley,1443,553075
22,1724,2165316:546427:558927,First Canada via MacCauley,1443,558927
701,1723,2165433:546432:553097,Express - Cataraqui Centre via Brock/Bath,1377,553097
701,1724,2165433:546432:558922,Express - Cataraqui Centre via Brock/Bath,1377,558922
802,1723,2165542:546434:553084,Express - Montreal Street Park & Ride,1312,553084
802,1724,2165542:546434:558770,Express - Montreal Street Park & Ride,1312,558770
701,1723,2165614:546435:553084,Express - Cataraqui Centre via Downtown,1610,553084
701,1724,2165614:546435:558770,Express - Cataraqui Centre via Downtown,1610,558770
10,1708,2168727:546436:549146,Amherstview,1362,549146
7,1712,2165367:546437:551945,Grant Timmins/Dalton via John Counter Blvd,1385,551945
10,1708,2168711:546439:549146,Amherstview,1362,549146
7,1708,2169214:546441:558934,Cataraqui Centre,1603,558934
7,1701,2167299:546444:558808,Grant Timmins/Dalton via John Counter Blvd,1385,558808
501,1712,2164426:546446:549274,Express - Downtown via Princess St,1117,549274
